Gene,N61311_Dex,N052611_Dex,N080611_Dex,N061011_Dex,N61311_untreated,N052611_untreated,N080611_untreated,N061011_untreated
FBXO41,172,287,299,327,240,203,213,334
EGR4,0,0,0,0,0,0,0,1
LOC105374802,0,0,0,0,0,0,0,0
LOC105374803,0,0,0,0,1,0,0,0
LOC105374804,0,0,0,0,0,0,0,0
ALMS1,247,512,560,511,405,503,581,564
ALMS1-IT1,3,4,4,2,2,0,1,1
NAT8,0,1,0,2,0,2,1,0
ALMS1P1,1,4,2,1,1,2,3,1
LOC112268418,1,4,2,0,6,2,2,2
NAT8B,0,0,0,0,0,0,0,0
TPRKB,110,214,196,182,179,146,196,212
DUSP11,357,716,530,614,410,381,533,537
C2orf78,0,0,0,0,0,0,0,0
LOC105374807,3,2,0,3,2,4,2,6
STAMBP,522,975,824,960,643,705,816,829
LOC112268419,40,53,60,51,43,53,60,49
ACTG2,772,2104,6252,1277,258,567,994,644
DGUOK,373,726,606,758,392,455,517,700
DGUOK-AS1,69,115,116,112,81,93,118,125
TET3,224,257,330,357,353,256,390,432
LOC107985898,6,2,3,7,6,4,4,5
BOLA3,116,207,198,148,127,168,147,130
BOLA3-DT,81,92,79,106,86,79,93,101
MOB1A,2722,6106,4207,5334,2689,2893,3404,4197
MTHFD2,640,1482,467,1668,623,730,667,1042
SLC4A5,56,133,48,119,68,76,60,70
DCTN1,6291,14766,11624,13723,6905,10281,10546,10735
DCTN1-AS1,7,14,15,19,4,9,8,11
C2orf81,71,128,105,152,113,147,96,175
WDR54,228,401,460,426,250,293,281,314
RTKN,217,282,289,340,274,278,317,369
INO80B-WBP1,488,697,631,851,682,712,778,879
INO80B,148,209,188,260,176,207,179,242
WBP1,428,573,507,670,574,571,659,706
MOGS,882,1398,1195,1526,923,863,855,1097
MRPL53,295,381,395,382,320,329,397,401
CCDC142,133,176,245,219,193,176,228,208
TTC31,347,566,563,547,435,498,524,512
LBX2,15,16,30,38,32,26,24,43
LBX2-AS1,55,92,97,129,104,98,102,158
PCGF1,180,245,201,288,182,229,263,266
TLX2,1,0,0,0,0,0,0,0
DQX1,0,0,2,0,0,1,0,0
AUP1,1560,2350,2135,2486,1223,1370,1510,1648
HTRA2,410,628,596,718,444,387,507,601
LOXL3,464,799,1138,766,571,604,862,834
DOK1,368,580,554,611,347,415,492,496
M1AP,2,2,7,0,2,5,5,4
SEMA4F,229,477,447,428,335,308,363,420
LOC105374808,5,10,3,10,12,11,3,10
LOC102724497,8,6,4,5,4,2,4,8
LOC102724482,0,0,0,0,0,0,0,1
HK2,912,1055,2501,1409,806,627,1134,1387
LINC01291,0,3,9,3,1,7,5,5
LOC105374809,46,139,185,154,61,117,128,137
LINC01293,1,3,3,5,0,11,9,19
POLE4,169,366,326,315,191,225,236,303
TACR1,0,0,1,1,0,0,0,1
MIR5000,0,0,0,0,0,0,0,0
LOC105374811,23,49,83,42,28,31,89,30
LOC105374812,0,4,3,1,0,0,1,0
LOC107985900,4,3,6,1,3,5,5,1
LOC105374810,0,0,1,0,0,0,1,0
EVA1A,48,123,142,107,70,133,108,141
EVA1A-AS,0,0,0,0,0,0,0,1
MRPL19,446,850,847,846,552,646,705,828
GCFC2,409,846,828,873,476,584,660,796
LOC105374813,1,1,0,0,1,1,1,1
LOC105374814,0,0,0,0,0,0,0,0
LRRTM4,0,0,0,0,0,0,0,0
LOC105374815,0,0,0,0,0,0,0,0
LRRTM4-AS1,0,0,0,0,0,0,0,0
LOC101927967,0,0,0,0,0,0,0,0
LINC01851,0,0,0,0,0,0,0,0
LOC105374817,0,0,0,0,0,0,0,0
SNAR-H,0,0,0,0,0,0,0,0
LOC105374816,0,0,0,0,0,0,0,0
LOC101927948,0,0,0,0,0,0,0,0
LOC105374820,0,0,0,0,0,0,0,0
LOC105374819,0,0,0,0,0,0,0,0
LOC105374821,0,0,0,0,0,0,0,0
LOC105374822,0,0,0,0,0,0,0,0
REG3G,0,0,0,0,0,0,0,0
REG1B,0,0,0,0,0,0,0,0
REG1A,0,0,0,0,0,0,0,0
REG1CP,0,0,0,0,0,0,0,0
REG3A,0,0,0,0,0,0,0,0
LOC107985902,0,0,0,0,0,0,0,0
LOC105374823,0,0,0,0,0,0,0,0
CTNNA2-AS1,0,0,0,0,0,0,0,0
CTNNA2,0,0,0,0,0,0,0,0
MIR4264,0,0,0,0,0,0,0,0
MIR8080,0,0,0,0,0,0,0,0
LOC107985903,0,0,0,0,0,0,0,0
LRRTM1,0,0,0,0,0,0,0,0
LOC107985904,0,0,0,0,0,0,1,0
LOC105374824,0,1,0,0,0,0,0,0
LOC105374827,0,0,0,0,0,0,0,0
LINC01815,0,0,0,0,0,0,0,0
LOC102724542,0,0,0,0,0,0,0,0
LOC105374828,0,0,0,0,0,0,0,0
LOC105374829,0,0,0,0,0,0,0,0
LOC105374831,0,0,0,0,0,0,0,0
DHFRP3,0,0,0,0,0,0,0,0
LOC105374832,0,0,0,0,0,0,0,0
LOC105374833,0,0,0,0,0,0,0,0
LOC105374834,0,0,0,0,0,0,0,0
LINC01809,0,0,0,0,0,0,0,0
LOC107985905,0,0,0,0,0,0,0,0
FUNDC2P2,2,4,4,9,0,2,2,3
SUCLG1,726,1144,993,1072,735,962,1058,1076
DNAH6,6,8,10,3,13,8,13,5
LOC107985906,1,1,0,0,0,0,0,1
TRABD2A,52,34,245,57,86,66,353,85
LOC105374837,4,10,4,6,4,4,8,7
LOC105374836,31,16,10,6,32,11,9,10
TMSB10,10596,19238,20044,17314,11262,17324,19849,18190
LOC105374838,10,18,11,17,19,8,10,16
KCMF1,861,1718,1240,1468,849,948,1186,1309
LINC01964,0,0,0,0,0,0,0,0
TCF7L1,387,646,480,687,562,507,624,839
TCF7L1-IT1,1,0,1,0,0,0,0,0
LOC102724579,0,0,1,0,0,1,0,0
LOC105374839,0,0,0,0,0,0,1,0
LOC100996506,17,62,27,35,20,29,32,30
TGOLN2,6408,15709,11290,16121,7620,10062,9287,13020
RETSAT,1176,2319,1891,1877,1311,1698,1710,1673
ELMOD3,383,634,508,597,385,496,540,566
CAPG,852,1587,1013,2217,851,1106,917,2163
LOC105374841,16,16,28,40,9,25,17,31
SH2D6,10,18,4,24,5,9,9,15
PARTICL,25,37,20,34,20,21,28,39
MAT2A,4133,6716,5035,6749,3547,3962,4269,5408
GGCX,1091,2124,2150,2155,1445,1600,1768,2041
VAMP8,20,38,18,28,23,43,12,51
VAMP5,1095,2011,1105,1841,1028,1210,903,1410
RNF181,675,1217,1090,1117,791,1023,1039,1078
TMEM150A,486,1294,830,1213,328,422,436,550
USP39,926,2155,1356,1988,926,1029,1121,1347
C2orf68,359,739,563,664,516,565,517,595
SFTPB,1,6,0,4,1,5,0,0
LOC105374842,0,0,0,0,0,1,0,0
GNLY,0,0,1,2,1,0,1,0
ATOH8,689,1229,720,1804,488,448,559,914
MIR6071,1,2,2,1,1,1,2,0
LOC284950,4,4,3,5,1,0,3,6
ST3GAL5,303,701,422,592,322,463,579,630
ST3GAL5-AS1,1,2,2,4,1,2,3,2
LOC112268420,7,11,4,5,0,8,5,3
LOC105374843,4,16,12,15,3,5,6,5
POLR1A,954,2112,2025,1895,1049,1366,1368,1710
PTCD3,780,1643,1324,1389,910,1155,1149,1276
SNORD94,4,3,3,8,2,4,4,5
IMMT,1073,2025,1937,1762,1118,1345,1598,1483
MIR4779,0,0,0,0,0,0,0,0
MRPL35,419,800,676,686,504,584,645,577
REEP1,0,0,0,1,1,0,0,0
KDM3A,1213,2059,1944,2393,1284,1017,1461,1678
RNF103-CHMP3,1430,2836,1881,2416,1783,1990,1871,2462
CHMP3,1389,2772,1804,2349,1737,1933,1822,2425
CHMP3-AS1,5,10,13,34,12,12,9,22
RNF103,708,1966,1072,1817,794,839,896,1260
RMND5A,472,752,597,863,534,408,609,727
CD8A,0,0,0,0,0,0,1,0
LOC105374846,0,0,1,0,0,0,0,0
CD8B,0,0,0,0,0,0,0,0
ANAPC1P1,13,30,17,42,14,16,11,31
RGPD1,57,230,349,210,61,123,363,198
PLGLB1,20,66,51,65,28,47,58,56
ANAPC1P2,151,232,231,349,165,156,212,282
LOC107985772,0,0,1,1,0,1,0,0
LOC102724642,69,158,181,165,66,82,108,126
MIR4771-1,0,0,0,0,0,0,0,0
LOC107985771,0,0,1,0,0,0,1,0
LINC01955,0,1,0,1,0,1,0,1
LOC107985908,2,2,6,13,3,7,1,6
LOC105374848,11,22,17,39,12,19,15,29
LOC105377635,0,0,0,1,0,2,0,0
LINC01943,138,179,355,130,198,228,366,141
CYTOR,355,570,1217,467,269,385,616,397
LOC101928152,7,8,35,2,2,16,10,6
LOC107985909,1,2,10,1,5,8,4,2
MIR4435-1,0,0,1,0,0,0,0,1
LOC101928214,5,6,16,2,3,4,6,3
ANAPC1P4,141,259,336,376,138,159,224,264
PLGLB2,31,78,83,75,36,57,77,64
RGPD2,50,223,357,200,56,112,373,197
LOC105374851,0,0,0,0,0,0,0,0
LOC105374852,0,3,0,0,0,0,1,0
KRCC1,847,1958,1189,1635,876,963,1147,1175
SMYD1,0,0,0,0,0,0,0,0
MIR4780,0,0,0,0,0,0,0,0
FABP1,0,0,0,0,0,0,0,1
LOC101928347,4,2,3,4,3,3,2,4
THNSL2,878,1001,398,800,821,567,291,568
FOXI3,0,0,0,0,0,0,0,0
TEX37,0,0,0,0,0,1,0,0
LOC101928371,80,114,116,109,72,99,104,109
EIF2AK3,466,678,625,717,480,507,533,666
EIF2AK3-DT,5,16,14,13,12,16,18,22
LOC102724805,2,6,2,6,6,5,3,11
RPIA,153,319,254,323,162,159,193,250
LOC105374853,1,0,0,0,0,0,0,0
ANKRD36BP2,0,2,0,3,1,0,1,2
MALLP2,0,1,0,2,0,0,0,1
MIR4436A,0,0,0,0,0,0,0,0
LOC105374854,0,0,0,0,0,0,0,0
IGKC,0,0,0,0,0,0,0,0
IGKJ5,0,0,0,0,0,0,0,0
IGKJ4,0,0,0,0,0,0,0,0
IGKJ3,0,0,0,0,0,0,0,0
IGKJ2,0,0,0,0,0,0,0,0
IGKJ1,0,0,0,0,0,0,0,0
IGKV4-1,0,0,0,0,0,0,0,0
IGKV5-2,0,0,0,0,0,0,0,0
IGKV7-3,0,0,0,0,0,0,0,0
IGKV2-4,0,0,0,0,0,0,0,0
IGKV1-5,0,0,0,0,0,0,0,0
IGKV1-6,0,0,0,0,0,0,0,0
IGKV3-7,0,0,0,0,0,0,0,0
IGKV1-8,0,0,0,0,0,0,0,0
IGKV1-9,0,0,0,0,0,0,0,0
IGKV2-10,0,0,0,0,0,0,0,0
IGKV3-11,0,0,0,0,0,0,0,0
IGKV1-12,0,0,0,0,0,0,0,0
IGKV1-13,0,0,0,0,0,0,0,0
IGKV2-14,0,0,0,0,0,0,0,0
IGKV3-15,0,0,0,0,0,0,0,0
IGKV1-16,0,0,0,0,0,0,0,0
IGKV1-17,0,0,0,0,0,0,0,0
IGKV2-18,0,0,0,0,0,0,0,0
IGKV2-19,0,0,0,0,0,0,0,0
IGKV3-20,0,0,0,0,0,0,0,0
IGKV6-21,0,0,0,0,0,0,0,0
IGKV1-22,0,0,0,0,0,0,0,0
IGKV2-23,0,0,0,0,0,0,0,0
IGKV2-24,0,0,0,0,0,0,0,0
IGKV3-25,0,0,0,0,0,0,0,0
IGKV2-26,0,0,0,0,0,0,0,0
IGKV1-27,0,0,0,0,0,0,0,0
IGKV2-28,0,0,0,0,0,0,0,0
IGKV2-29,0,0,0,0,0,0,0,0
LOC107985910,0,0,0,0,0,0,0,0
IGKV2-30,0,0,0,0,0,0,0,0
IGKV3-31,0,0,0,0,0,0,0,0
IGKV1-32,0,0,0,0,0,0,0,0
IGKV1-33,0,0,0,0,0,0,0,0
IGKV3-34,0,0,0,0,0,0,0,0
IGKV1-35,0,0,0,0,0,0,0,0
IGKV2-36,0,0,0,0,0,0,0,0
IGKV1-37,0,0,0,0,0,0,0,0
IGKV2-38,0,0,0,0,0,0,0,0
IGKV1-39,0,0,0,0,0,0,0,0
IGKV2-40,0,0,0,0,0,0,0,0
LOC107985911,344,310,273,293,397,330,295,302
KMT2CP4,1,2,2,2,1,1,1,2
LOC105374862,0,0,0,0,0,0,0,0
IGKV2D-40,0,0,0,0,0,0,0,0
IGKV1D-39,0,0,0,0,0,0,0,0
IGKV2D-38,0,0,0,0,0,0,0,0
IGKV1D-37,0,0,0,0,0,0,0,0
IGKV2D-36,0,0,0,0,0,0,0,0
IGKV1D-35,0,0,0,0,0,0,0,0
IGKV3D-34,0,0,0,0,0,0,0,0
IGKV1D-33,0,0,0,0,0,0,0,0
IGKV1D-32,0,0,0,0,0,0,0,0
IGKV3D-31,0,0,0,0,0,0,0,0
IGKV2D-30,0,0,0,0,0,0,0,0
IGKV2D-29,0,0,0,0,0,0,0,0
IGKV2D-28,0,0,0,0,0,0,0,0
IGKV1D-27,0,0,0,0,0,0,0,0
IGKV2D-26,0,0,0,0,0,0,0,0
IGKV3D-25,0,0,0,0,0,0,0,0
IGKV2D-24,0,0,0,0,0,0,0,0
IGKV2D-23,0,0,0,0,0,0,0,0
IGKV1D-22,0,0,0,0,0,0,0,0
IGKV6D-21,0,0,0,0,0,0,0,0
IGKV3D-20,0,0,0,0,0,0,0,0
IGKV2D-19,0,0,0,0,0,0,0,0
IGKV2D-18,0,0,0,0,0,0,0,0
IGKV6D-41,0,0,0,0,0,0,0,0
IGKV1D-17,0,0,0,0,0,0,0,0
IGKV1D-16,0,0,0,0,0,0,0,0
IGKV3D-15,0,0,0,0,0,0,0,0
IGKV2D-14,0,0,0,0,0,0,0,0
IGKV1D-13,0,0,0,0,0,0,0,0
IGKV1D-12,0,0,0,0,0,0,0,0
IGKV3D-11,0,0,0,0,0,0,0,0
IGKV2D-10,0,0,0,0,0,0,0,0
IGKV1D-42,0,0,0,0,0,0,0,0
IGKV1D-43,0,0,0,0,0,0,0,0
IGKV1D-8,0,0,0,0,0,0,0,0
IGKV3D-7,0,0,0,0,0,0,1,0
LOC101060017,2,1,1,1,1,2,0,1
LOC101930047,1,0,1,0,1,1,1,1
LOC101926969,8,19,3,21,4,11,3,12
LSP1P4,146,215,73,85,157,207,80,100
KMT2CP5,2,2,5,8,2,3,4,5
LOC105374868,1,1,1,1,0,1,1,0
GGT8P,0,0,1,0,0,0,0,0
ACTR3BP2,0,0,0,0,0,0,0,0
BMS1P23,65,92,42,50,66,82,59,100
LOC107985915,9,8,9,20,7,10,7,16
LOC100133920,0,0,0,0,0,0,0,0
AQP7B,0,1,0,0,0,0,0,0
LOC107985916,0,0,0,0,0,0,0,0
FAM95A,0,0,0,0,0,0,0,0
ANKRD20A8P,0,1,0,0,0,0,0,0
LOC442028,0,0,0,0,0,0,0,0
TEKT4,2,0,0,3,1,0,0,0
LOC105373487,0,0,0,0,0,0,0,0
MAL,1,0,0,2,0,4,0,3
LOC105373488,0,0,0,0,0,0,0,0
MRPS5,543,975,923,879,579,627,832,710
ZNF514,253,487,467,517,293,342,493,565
ZNF2,92,202,172,167,141,151,162,194
PROM2,8,23,20,20,14,11,17,23
KCNIP3,171,198,139,189,184,129,138,171
FAHD2A,288,518,478,557,384,422,454,485
TRIM43B,9,1,0,0,0,0,0,1
LOC107985917,25,122,94,96,62,91,99,107
TRIM43,8,0,0,0,0,0,0,0
LOC105373490,11,25,13,23,17,33,32,57
LOC101926959,0,1,0,1,0,0,0,0
LOC105373492,0,0,0,0,0,0,0,0
LINC00342,80,140,150,161,150,160,194,217
ANKRD36C,89,136,164,261,178,201,216,247
FAHD2CP,28,57,56,54,40,47,55,57
GPAT2,26,107,200,72,45,91,155,64
LOC105373493,0,0,0,0,0,0,0,0
LOC105373494,0,0,0,0,0,0,0,0
ADRA2B,1,0,3,0,0,0,2,0
ASTL,0,0,0,0,0,0,0,0
DUSP2,1,9,4,8,0,2,3,7
STARD7,3571,11490,6744,8137,1913,2614,3327,2977
STARD7-AS1,115,241,195,232,94,111,140,138
SNORA112,0,0,1,0,0,0,0,0
TMEM127,2093,4767,3787,4723,2007,2469,2869,3241
CIAO1,1112,2173,1927,2001,1243,1647,1865,1879
SNRNP200,3622,6291,6351,6742,4792,5398,6453,6471
ITPRIPL1,51,97,87,91,48,34,97,66
NCAPH,13,33,10,24,16,13,10,16
NEURL3,0,0,0,0,0,0,0,1
LOC105373496,0,0,0,0,0,0,0,0
ARID5A,556,1000,602,1284,459,391,407,598
KANSL3,1938,4559,2397,4440,1881,2348,2321,3003
FER1L5,7,16,9,16,14,17,17,20
LMAN2L,407,944,479,691,487,579,454,586
CNNM4,233,468,281,441,196,270,229,289
MIR3127,1,0,0,0,0,0,0,0
CNNM3-DT,3,14,5,15,3,2,2,4
CNNM3,445,1139,671,1294,499,581,608,730
ANKRD23,43,64,66,94,41,61,65,75
ANKRD39,52,91,102,112,67,87,69,90
SEMA4C,925,1467,927,1671,787,818,766,884
FAM178B,0,4,3,2,1,4,3,2
LOC101927053,0,0,0,0,0,0,0,0
FAHD2B,130,269,162,249,185,151,146,200
ANKRD36,179,282,325,391,288,395,401,450
LOC100506076,49,62,58,59,53,69,94,76
LOC107985920,1,1,2,1,1,1,0,1
APPAT,45,63,52,54,50,56,87,71
ANKRD36B,128,196,218,252,200,213,249,312
LOC105373499,0,0,0,0,0,0,0,0
COX5B,987,1779,1680,1576,959,1288,1314,1377
ACTR1B,754,1433,1167,1466,825,1049,941,1260
C2orf92,17,45,32,41,24,37,31,37
ZAP70,3,2,1,5,0,6,5,3
TMEM131,1256,2890,2463,2836,1819,2271,2689,2895
LOC107985921,33,95,92,72,57,87,97,106
LOC105373501,0,0,0,0,0,0,0,0
VWA3B,1,3,3,1,3,3,0,2
CNGA3,1,294,2,3,2,223,0,8
INPP4A,633,1377,1107,1212,831,922,965,1177
COA5,318,579,402,487,384,378,397,488
UNC50,636,1117,795,1041,633,709,703,783
MGAT4A,12,6,6,15,12,2,3,20
LOC107985922,0,0,0,0,0,0,1,1
LINC02611,0,0,0,0,0,0,0,0
CRACDL,0,0,0,0,0,2,0,1
TSGA10,25,53,35,68,31,38,54,72
C2orf15,7,7,5,17,2,6,3,10
LIPT1,43,152,80,90,64,111,90,100
MITD1,221,367,344,415,237,279,384,449
MRPL30,414,832,709,742,570,545,688,660
LYG2,1,0,5,1,2,2,3,4
LYG1,9,9,16,16,8,13,22,11
TXNDC9,464,890,682,670,427,519,534,534
LOC107985923,4,9,11,10,10,13,14,12
EIF5B,2978,5397,4910,5152,3001,3843,4641,5082
REV1,358,698,559,676,460,514,630,712
AFF3,1,6,23,2,13,11,50,9
LOC105373504,0,0,0,0,0,1,0,0
LOC112268421,0,0,0,0,0,0,0,1
LINC01104,0,0,0,0,0,0,0,0
LONRF2,0,2,1,3,2,0,3,7
CHST10,148,290,194,249,176,226,170,274
NMS,0,0,0,0,0,0,0,0
LOC105373506,0,0,0,0,0,0,0,0
PDCL3,148,217,214,200,111,135,144,158
LINC01849,0,0,0,0,0,0,0,0
LOC107985814,0,0,0,0,0,0,2,0
LINC01868,0,0,0,0,0,0,0,0
LOC105375310,1,1,0,0,0,0,1,0
LOC105373508,0,0,0,0,0,0,0,0
NPAS2,424,635,1081,690,194,273,359,344
NPAS2-AS1,0,0,1,1,0,0,0,1
RPL31,12373,17668,13849,15696,13193,12835,11825,15070
TBC1D8,164,379,379,532,210,272,416,407
LOC105373510,2,12,9,10,6,6,6,6
TBC1D8-AS1,9,10,11,23,16,16,14,13
CNOT11,569,1185,984,1139,571,636,777,867
LOC105373511,33,49,65,67,36,41,61,55
RNF149,746,1587,1114,1585,773,795,1003,1216
SNORD89,3,6,8,5,2,2,7,5
LOC105373512,1,0,0,0,0,0,0,0
MIR5696,0,1,0,0,0,0,0,0
CREG2,0,4,3,3,3,3,6,8
RFX8,136,371,226,219,243,315,200,334
LINC01870,1,0,0,1,1,0,0,0
LOC105373514,0,0,0,0,0,0,0,0
MAP4K4,10211,20509,16279,19888,12871,14485,17057,18374
LINC01127,1,1,1,1,0,3,3,1
IL1R2,3,4,8,6,1,2,8,0
LOC107985926,4,1,1,2,1,2,0,2
IL1R1,12143,21130,16771,22369,11897,10852,18125,13845
IL1RL2,29,49,67,53,39,36,69,57
IL1RL1,5,1,2,9,0,0,1,0
IL18R1,41,19,60,37,51,24,56,25
IL18RAP,1,0,0,0,0,0,1,0
MIR4772,0,0,0,0,0,0,0,0
SLC9A4,0,1,3,0,0,0,1,0
SLC9A2,0,0,1,0,0,0,1,0
MFSD9,157,364,304,428,212,286,247,320
TMEM182,69,166,86,103,117,137,106,131
LINC01796,0,0,0,0,0,0,0,0
LINC01935,0,0,0,0,0,0,0,0
LOC105373520,0,0,0,0,0,0,0,0
LOC107985927,0,0,0,0,0,0,0,0
LINC01965,0,0,0,0,0,0,0,0
LOC105373521,0,0,0,0,0,0,0,0
LOC105373523,0,0,0,0,0,0,0,0
LOC105373522,0,0,0,0,0,0,0,0
LOC100287010,0,0,0,0,0,0,0,0
LINC01831,0,0,0,0,0,0,0,0
LINC01102,0,0,0,0,0,0,0,0
LINC01103,0,0,0,0,0,0,0,0
LOC105373524,0,0,0,0,0,0,0,0
LOC105373525,0,0,0,0,0,0,0,0
LOC105373526,0,0,0,0,0,0,0,0
LOC101927383,1,0,0,0,0,0,0,0
LINC01114,0,0,0,0,0,0,0,0
PANTR1,0,0,0,0,0,0,0,0
POU3F3,0,0,0,0,0,0,0,0
LINC01159,0,0,0,0,0,0,0,0
MRPS9-AS2,0,0,0,0,0,0,0,0
MRPS9,191,424,372,377,265,325,387,368
MRPS9-AS1,30,64,75,54,46,66,86,52
LOC105373527,1,2,0,0,0,0,0,0
LINC01918,0,0,0,0,0,0,0,0
LOC105373528,0,0,0,0,0,0,0,0
GPR45,3,0,1,0,1,1,0,0
TGFBRAP1,694,1170,1044,1312,687,706,835,1041
C2orf49-DT,25,43,28,29,20,34,30,51
C2orf49,490,984,863,979,571,714,790,879
FHL2,4490,9258,7687,6368,4231,5900,4859,5136
LOC105373529,0,0,0,0,0,0,0,0
LOC105375311,0,0,0,0,0,0,0,0
LINC02946,0,0,0,0,0,0,0,0
LOC107985929,0,0,0,0,0,0,0,0
NCK2,520,859,869,981,494,577,763,797
LOC105373530,0,0,0,0,0,0,0,0
LOC105373531,0,0,0,0,0,0,0,0
ECRG4,0,1,7,0,0,1,3,1
UXS1,586,1242,1247,1093,525,803,778,977
LOC107985930,1,4,6,3,1,4,0,3
ANAPC1P6,6,23,14,20,9,6,6,17
PLGLA,3,8,6,6,3,3,8,8
RGPD3,92,276,189,277,105,142,213,238
LOC105373534,0,0,0,0,0,0,0,0
LOC107985931,0,5,3,8,4,3,2,9
CD8B2,0,0,0,0,0,0,0,0
LOC102724744,0,0,0,0,0,0,0,0
ST6GAL2,0,2,0,0,0,0,0,1
LOC105373535,0,0,0,0,0,0,0,0
LINC01789,0,0,0,0,0,0,0,0
LINC01885,0,0,0,0,0,0,0,0
LINC01886,0,0,0,0,0,1,0,1
LOC105373539,0,0,0,0,0,0,0,0
GACAT1,0,0,0,0,0,0,0,0
RGPD4-AS1,0,0,0,0,0,0,0,0
RGPD4,101,302,227,243,120,154,236,217
SLC5A7,0,0,0,0,0,1,0,0
LINC01593,1,0,0,0,0,0,1,0
LINC01594,0,0,0,0,0,0,0,0
SULT1C3,0,0,0,0,0,0,0,0
SULT1C2,2,6,4,3,7,9,5,9
SULT1C5P,0,0,0,0,1,1,0,0
SULT1C4,4,4,4,5,10,15,14,13
GCC2,1074,1952,2194,1730,1313,1507,2121,1666
GCC2-AS1,14,28,31,16,26,29,25,29
LIMS1,1141,1834,2294,2006,1747,1864,2601,2691
LIMS1-AS1,0,2,2,1,3,3,2,0
RANBP2,2629,5293,4696,5178,2805,3487,4093,4390
CCDC138,15,30,24,25,28,29,38,29
EDAR,0,0,0,0,0,0,0,0
SH3RF3-AS1,89,138,230,164,77,73,92,88
SH3RF3,838,1655,1871,1374,470,682,934,714
MIR4265,0,0,0,0,0,0,0,0
MIR4266,0,0,0,0,0,0,0,0
LOC107985773,1,0,1,0,0,0,0,0
SEPTIN10,2132,4127,4211,4512,2722,2781,4047,3979
SOWAHC,180,374,317,377,229,273,266,363
LOC105373545,0,0,0,0,0,0,0,0
LOC107985774,0,0,0,0,0,0,0,0
LOC100506563,0,1,0,1,0,1,0,1
RGPD5,237,554,472,534,297,390,547,575
LOC102724848,1,2,1,2,0,2,1,1
LIMS3-LOC440895,31,47,103,57,36,46,95,72
LIMS3,50,86,155,81,54,63,132,108
LOC105373547,1,1,2,1,1,2,3,1
LOC440895,0,0,15,3,0,0,10,3
LINC01123,12,21,65,36,18,23,43,33
LOC112268438,2,3,5,4,1,0,5,0
LOC105373985,0,1,2,0,0,0,1,0
LOC107985775,0,0,0,0,0,0,0,0
LOC105373548,0,0,1,0,1,0,0,0
LOC105373549,0,0,0,0,0,0,0,0
LOC105373986,0,0,0,0,0,0,0,0
MIR4267,0,0,0,0,0,0,0,0
MALL,16,56,34,86,49,90,41,206
MIR4436B1,0,1,0,0,0,0,0,1
NPHP1,78,227,160,214,130,179,200,233
MTLN,131,213,215,204,169,183,139,197
LOC100507334,0,0,12,4,0,1,6,3
MIR4436B2,0,1,0,0,0,0,0,1
LOC105373551,0,1,1,0,1,0,0,0
LOC107985776,0,0,0,0,0,0,0,0
LOC105375809,0,0,2,0,0,0,1,0
LINC01106,10,18,45,29,10,14,31,20
LIMS4,85,139,323,149,96,117,263,179
LOC100288570,0,1,18,4,0,1,11,3
LOC105373552,9,11,27,7,10,11,32,9
LOC102724875,0,2,1,1,0,0,0,1
RGPD6,243,570,479,542,301,406,563,589
LOC105373553,0,1,0,1,0,1,0,1
BUB1,54,78,62,56,61,63,44,59
SNORD132,0,0,0,0,0,0,0,0
LOC105373554,0,0,0,0,0,1,0,0
ACOXL,91,386,151,474,134,180,200,323
ACOXL-AS1,7,15,6,11,11,4,8,7
BCL2L11,436,711,289,787,670,676,635,862
MIR4435-2HG,587,1521,2067,1054,1043,1566,1741,1138
LOC101927283,3,6,13,2,5,4,7,2
MIR4435-2,0,0,0,0,0,1,0,1
SOCAR,58,96,119,95,90,82,149,148
LOC105373559,0,1,1,1,0,1,0,1
LOC107985933,1,0,2,1,0,0,2,2
ANAPC1,629,1143,1117,1281,762,835,918,1153
MIR4771-2,0,0,0,0,0,0,0,0
MERTK,50,78,23,122,152,105,59,213
TMEM87B,774,2815,2116,2535,935,984,943,1477
LOC105373560,2,0,1,3,0,0,0,0
FBLN7,67,164,91,185,76,102,80,164
ZC3H8,47,136,111,119,98,126,168,145
ZC3H6,224,663,477,579,291,505,448,549
RGPD8,240,575,480,545,288,402,564,557
TTL,1151,2458,1668,2277,1280,1421,1485,1989
LOC105373562,0,0,1,0,0,2,2,1
POLR1B,225,454,435,525,297,347,381,533
LOC101927330,4,10,15,12,7,17,21,18
CHCHD5,165,207,210,229,184,200,203,233
LOC107985934,0,0,0,0,0,1,0,0
SLC20A1-DT,13,19,20,24,6,17,17,12
SLC20A1,485,999,856,867,730,1051,944,1315
LOC102724955,0,0,0,0,0,0,0,0
NT5DC4,1,3,0,2,3,1,1,2
CKAP2L,20,32,12,18,19,15,10,29
IL1A,0,1,0,0,0,2,1,1
IL1B,0,1,1,0,0,0,6,1
LOC105373563,0,0,0,0,0,0,0,0
IL37,0,0,0,0,0,0,0,0
IL36G,0,0,0,0,0,0,0,0
IL36A,0,0,0,0,0,0,0,0
IL36B,0,0,0,0,0,0,0,0
IL36RN,0,1,0,0,0,0,0,0
IL1F10,0,0,0,0,0,0,0,0
IL1RN,0,1,0,0,3,3,4,1
PSD4,78,107,84,107,96,132,86,109
PAX8,2,61,118,1,2,50,136,9
PAX8-AS1,6,421,721,30,5,335,669,35
LOC105373567,0,0,2,0,1,0,0,1
